handle,average_viewers,hours_streamed,total_followers,twitch_link
sliggytv,4160,145.2,173000,https://twitch.tv/sliggytv
mitchjones,4133,11.8,693000,https://twitch.tv/mitchjones
qtcinderella,4125,91.8,1140000,https://twitch.tv/qtcinderella
zy0xxx,4123,66.2,400000,https://twitch.tv/zy0xxx
frostymog,4113,29.4,47500,https://twitch.tv/frostymog
aspen,4108,159.5,519000,https://twitch.tv/aspen
geoguessr,4104,28.8,91700,https://twitch.tv/geoguessr
lava_flame2,4097,18.1,55700,https://twitch.tv/lava_flame2
gingitv,4058,241.5,383000,https://twitch.tv/gingitv
wirtual,4053,11.9,537000,https://twitch.tv/wirtual
39daph,4048,215.8,1220000,https://twitch.tv/39daph
brawlhalla,4044,16.7,2120000,https://twitch.tv/brawlhalla
swagg,4027,223.4,2210000,https://twitch.tv/swagg
arcsystemworksu,4023,43.2,79500,https://twitch.tv/arcsystemworksu
jaycincoo5,3994,100.9,199000,https://twitch.tv/jaycincoo5
halo,3992,11.1,751000,https://twitch.tv/halo
skill4ltu,3966,230.1,364000,https://twitch.tv/skill4ltu
teegrizzley,3948,107.5,1190000,https://twitch.tv/teegrizzley
t90official,3941,85.6,262000,https://twitch.tv/t90official
central_committee,3940,105.2,90800,https://twitch.tv/central_committee
edylahymo,3931,7.8,,https://twitch.tv/edylahymo
playinzoi,3925,17.5,10700,https://twitch.tv/playinzoi
willneff,3900,130.6,543000,https://twitch.tv/willneff
bigbossboze,3881,12,349000,https://twitch.tv/bigbossboze
barbarousking,3851,301.9,226000,https://twitch.tv/barbarousking
annacramling,3848,22.3,474000,https://twitch.tv/annacramling
boxbox,3838,176.2,2150000,https://twitch.tv/boxbox
smittystone,3810,60.8,421000,https://twitch.tv/smittystone
flats,3785,179.7,875000,https://twitch.tv/flats
chilledchaos,3771,106.7,467000,https://twitch.tv/chilledchaos
formula1,3768,14.5,559000,https://twitch.tv/formula1
yugi2x,3753,127.2,129000,https://twitch.tv/yugi2x
diazbiffle,3725,127.9,806000,https://twitch.tv/diazbiffle
윤개굴이,3714,34.5,384000,https://twitch.tv/윤개굴이
sinder,3707,114.8,343000,https://twitch.tv/sinder
lilsimsie,3685,65.3,904000,https://twitch.tv/lilsimsie
d4vd,3681,10,54500,https://twitch.tv/d4vd
admiralbahroo,3668,125.5,850000,https://twitch.tv/admiralbahroo
glorious_e,3641,187.5,379000,https://twitch.tv/glorious_e
lplenglish,3633,100.4,36100,https://twitch.tv/lplenglish
eslcs,3630,653.4,6480000,https://twitch.tv/eslcs
anny,3625,22,418000,https://twitch.tv/anny
robthemaster1,3599,14.9,210000,https://twitch.tv/robthemaster1
ubisoft,3558,44.6,1100000,https://twitch.tv/ubisoft
hutchmf,3549,169.3,423000,https://twitch.tv/hutchmf
arky,3543,107.7,127000,https://twitch.tv/arky
kitboga,3535,22.4,1240000,https://twitch.tv/kitboga
davis,3530,12.1,323000,https://twitch.tv/davis
skermz,3503,107.9,271000,https://twitch.tv/skermz
rezreel,3497,50.8,1110000,https://twitch.tv/rezreel
cyr,3495,109.7,653000,https://twitch.tv/cyr
